YA315_DARK 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
71.25 1186.272 1447.111 1165.061 1436.198 1516.743 1479.29 1551.715 1555.236 1576.359 1492.519 1442.803 1296.527 1447.913 1558.424 1645.224
72.5 1174.174 1431.817 1160.48 1437.213 1509.111 1465.347 1536.983 1549.064 1561.437 1476.143 1427.143 1284.865 1445.015 1545.378 1632.078
73.75 1177.654 1450.932 1182.704 1454.052 1527.645 1473.718 1553.758 1556.082 1574.177 1495.643 1451.553 1299.534 1480.163 1560.812 1652.679
75 1245.778 1538.728 1260.362 1540.599 1612.071 1557.47 1650.54 1633.07 1681.276 1586.553 1536.445 1366.968 1576.916 1650.029 1743.245
76.25 1337.215 1659.778 1337.178 1630.106 1724.327 1671.492 1745.733 1747.726 1793.651 1698.032 1638.865 1454.425 1672.513 1762.621 1853.934
77.5 1361.588 1688.012 1364.076 1659.725 1762.284 1691.922 1771.59 1782.918 1821.323 1740.993 1676.154 1481.055 1699.663 1793.007 1872.763
78.75 1339.455 1652.025 1336.7 1636.102 1728.047 1667.276 1746.427 1761.608 1798.758 1717.081 1644.035 1467.733 1680.231 1767.909 1838.723
80 1336.375 1644.184 1341.332 1667.627 1712.061 1680.947 1751.543 1766.042 1821.124 1687.55 1646.237 1469.427 1717.103 1761.479 1840.182
81.25 1567.957 1910.095 1558.897 2101.017 2005.487 1985.777 2082.247 2098.865 2208.408 1890.84 1883.633 1658.394 2100.223 2022.526 2106.504
82.5 2291.334 2791.911 2263.22 3028.777 2860.08 2833.797 2891.076 2913.653 3055.885 2600.522 2537.533 2235.295 2969.099 2867.193 2967.154
83.75 3186.592 3944.276 3183.301 3989.634 3956.63 3906.338 3958.51 3872.839 4051.066 3624.151 3390.144 2970.879 3897.415 3892.956 4036.419
85 3736.195 4712.641 3744.69 4521.876 4744.053 4662.188 4688.682 4548.167 4575.831 4320.074 3879.82 3415.586 4444.392 4527.966 4779.62
86.25 3702.854 4693.895 3695.425 4367.303 4756.772 4577.959 4610.251 4542.133 4411.229 4307.148 3741.122 3299.421 4270.311 4390.834 4744.134
87.5 3108.092 3974.982 3093.762 3679.77 4094.6 3814.649 3921.923 3887.92 3683.601 3660.824 3149.886 2763.615 3557.062 3664.288 4047.162
88.75 2494.558 3113.698 2475.723 3040.437 3329.857 3007.604 3128.303 3097.792 2972.188 2881.042 2528.71 2242.656 2864.203 2906.198 3187.81
90 2358.356 2968.272 2359.901 2873.089 3035.534 2879.168 2922.042 2785.182 2816.606 2581.546 2321.216 2053.27 2733.393 2753.311 2867.647
91.25 2611.704 3323.847 2606.798 3171.705 3347.385 3230.789 3214.977 2962.071 3035.652 2741.279 2412.581 2121.132 2969.503 2980.947 2996.165
92.5 2837.44 3639.448 2884.935 3445.915 3692.625 3488.613 3506.935 3215.299 3241.247 2996.15 2621.012 2301.996 3191.881 3231.13 3248.475
93.75 2869.827 3722.956 2961.231 3496.622 3787.396 3535.877 3610.416 3397.348 3412.478 3233.87 2944.033 2590.133 3337.89 3393.62 3522.262
95 2848.862 3675.772 2965.634 3555.809 3787.047 3581.903 3651.324 3568.868 3648.036 3496.058 3276.985 2881.258 3504.791 3626.453 3791.228
96.25 2944.32 3696.785 3011.098 3662.41 3881.718 3666.443 3816.167 3776.061 3921.187 3689.367 3519.696 3131.877 3684.705 3841.768 4044.264
97.5 3133.608 3898.16 3180.701 3827.198 4053.307 3894.81 4041.923 4066.48 4229.984 3926.651 3753.285 3386.05 3893.371 4127.709 4322.927
98.75 3316.097 4116.978 3310.171 4001.35 4264.764 4098.599 4272.741 4338.002 4447.031 4149.737 3947.58 3554.592 4060.18 4353.131 4546.23
100 3390.577 4184.934 3328.169 4020.998 4344.068 4171.136 4360.72 4459.522 4514.646 4175.953 3995.149 3574.515 4082.247 4406.595 4547.23
101.25 3348.961 4085.66 3233.729 3899.81 4250.157 4047.122 4301.139 4370.598 4399.381 4016.868 3854.461 3462.925 3959.661 4289.493 4365.802
102.5 3171.784 3852.433 3014.265 3590.882 3961.209 3758.078 4055.73 4135.602 4108.032 3653.493 3540.516 3191.658 3658.355 3969.397 3988.204
103.75 2831.702 3451.544 2691.043 3187.952 3509.687 3350.935 3616.562 3746.809 3663.296 3154.738 3114.455 2794.249 3242.507 3532.411 3485.249
105 2573.448 3082.147 2438.705 2929.222 3187.267 3056.655 3261 3350.622 3345.28 2853.129 2815.874 2532.236 2981.599 3222.471 3144.888
106.25 2464.157 2906.633 2314.751 2813.814 3046.271 2898.201 3083.938 3138.737 3178.858 2748.356 2701.533 2431.287 2835.947 3074.933 2990.569
107.5 2381.326 2785.329 2212.456 2702.897 2910.993 2770.238 2952.142 3013.575 3038.61 2637.861 2603.982 2340.527 2698.723 2940.879 2842.322
