YA604_LIGHT 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
angle -2.519 -1.936 -0.631 -0.979 -0.411 -1.885 -0.691 -1.447 -0.953 -1.478 -1.15 -3.225 -1.808 -0.868 -1.464
70 1150.782 1226.025 1240.245 1098.361 1189.453 1363.493 1595.903 1553.893 1470.335 1525.563 1701.67 1313.518 1325.016 1399.646 1314.085
71.25 1134.69 1214.685 1239.206 1088.619 1178.112 1345.369 1581.933 1538.522 1453.216 1515.142 1679.468 1299.99 1309.048 1382.527 1295.19
72.5 1128.875 1203.037 1227.194 1083.824 1168.845 1329.12 1572.161 1523.9 1444.064 1496.698 1665.203 1287.47 1301.062 1365.809 1298.162
73.75 1132.274 1207.67 1225.486 1092.991 1171.968 1334.06 1565.69 1528.875 1447.314 1502.445 1674.561 1287.894 1302.475 1371.003 1306.366
75 1201.129 1270.259 1300.771 1142.038 1248.615 1406.864 1637.507 1600.645 1510.502 1560.179 1734.101 1345.909 1371.245 1450.64 1349.339
76.25 1323.324 1397.373 1491.451 1269.834 1414.119 1548.254 1806.136 1742.794 1655.761 1699.208 1886.955 1453.818 1496.284 1579.27 1481.579
77.5 1369.231 1451.669 1607.855 1324.224 1483.592 1609.632 1894.045 1812.852 1729.014 1766.279 1962.517 1505.404 1559.195 1642.556 1562.052
78.75 1318.064 1396.439 1523.281 1273.787 1416.495 1554.895 1822.895 1755.311 1670.425 1705.083 1900.164 1471.33 1510.243 1593.262 1516.776
80 1251.277 1339.612 1394.043 1209.802 1321.396 1493.004 1726.732 1678.058 1585.508 1628.162 1822.86 1415.507 1448.52 1516.762 1444.878
81.25 1331.063 1431.461 1458.751 1304.92 1402.262 1589.521 1842.545 1782.79 1707.007 1705.135 1947.684 1499.549 1568.61 1605.306 1518.356
82.5 1810.157 1977.804 2013.494 1806.41 1969.429 2210.348 2553.572 2397.427 2340.959 2302.934 2647.497 2016.86 2155.365 2250.26 2072.365
83.75 2573.736 2850.554 2963.944 2648.422 2870.98 3152.806 3803.067 3419.653 3298.684 3353.777 3735.915 2829.609 3078.885 3245.942 2957.444
85 3184.516 3512.327 3803.286 3290.113 3705.855 3904.467 4802.418 4274.688 4110.164 4186.431 4645.785 3426.406 3756.079 4007.858 3725.086
86.25 3224.556 3577.876 4070.15 3380.1 3925.535 4005.092 4977.652 4455.123 4219.446 4309.651 4792.017 3440.522 3805.375 4088.597 3870.321
87.5 2739.622 3075.216 3632.37 2911.353 3460.174 3433.195 4313.431 3883.473 3681.537 3747.091 4181.925 2913.617 3264.641 3538.27 3374.577
88.75 2223.166 2446.847 2861.982 2319.349 2743.428 2724.633 3458.174 3130.155 2936.082 2995.754 3319.639 2350.186 2636.377 2846.828 2676.138
90 2140.876 2349.886 2576.692 2155.468 2490.842 2564.746 3226.499 2900.379 2784.073 2800.778 3110.376 2222.128 2494.829 2657.35 2453.908
91.25 2350.674 2597.119 2880.631 2429.32 2805.138 2854.009 3591.17 3157.905 3019.117 3047.549 3361.946 2370.984 2745.778 2904.307 2674.344
92.5 2628.265 2872.527 3335.907 2733.957 3252.209 3221.583 4126.801 3501.514 3394.033 3396.533 3727.539 2586.129 3070.684 3273.473 3045.802
93.75 2817.826 3076.319 3574.467 2892.246 3495.693 3434.083 4389.225 3726.687 3635.253 3612.834 3981.079 2844.731 3250.078 3479.51 3311.386
95 2849.822 3129.42 3443.696 2852.35 3392.84 3424.984 4268.733 3824.348 3667.289 3679.108 4081.26 3069.964 3269.892 3456.834 3333.022
96.25 2890.597 3107.953 3222.233 2811.056 3171.678 3431.562 4087.017 3853.688 3701.993 3758.917 4207.166 3246.175 3353.059 3480.424 3303.985
97.5 3102.709 3281.757 3254.91 2945.577 3201.978 3637.148 4219.597 4033.864 3891.767 3964.44 4522.446 3493.071 3604.383 3690.541 3503.676
98.75 3297.98 3507.987 3454.124 3128.843 3387.346 3895.428 4515.469 4310.937 4135.156 4224.436 4773.57 3704.514 3828.023 3937.153 3741.03
100 3373.713 3574.784 3583.035 3196.585 3466.479 3983.097 4673.455 4452.907 4204.468 4302.689 4846.05 3753.061 3885.805 4047.769 3841.517
101.25 3292.925 3489.717 3567.665 3122.076 3417.061 3891.357 4574.382 4367.02 4089.3 4194.682 4760.116 3659.741 3773.861 3952.252 3770.248
102.5 3116.815 3291.302 3451.864 2988.451 3271.214 3694.477 4288.858 4122.033 3865.6 3971.659 4519.264 3452.357 3580.117 3755.126 3600.129
103.75 2867.177 2988.662 3205.855 2758.95 3004.424 3406.6 3877.172 3746.315 3510.833 3614.789 4103.381 3125.21 3290.092 3427.919 3329.209
105 2618.044 2674.405 2882.071 2497.568 2691.579 3129.582 3447.341 3359.278 3146.121 3242.507 3664.628 2816.465 2993.288 3084.121 3047.201
106.25 2419.879 2455.212 2630.836 2315.625 2458.796 2911.655 3145.816 3079.246 2874.611 2973.956 3367.338 2603.001 2764.54 2852.613 2825.828
107.5 2254.11 2278.861 2435.882 2158.632 2288.615 2717.425 2910.87 2843.273 2650.702 2743.741 3113.397 2405.143 2571.384 2659.025 2657.857
